query_2491.rq;10;17272;165288;0;0
query_11423.rq;1;1716;2308;1716;1
query_11237.rq;5843;257682;49386151;6439;26591
query_2347.rq;118;7552;754915;1473;249
query_1085.rq;6;1655;13856328;1295;1
query_11280.rq;572;21239;2052713;1041;1693
query_2837.rq;13;2768;16455687;557;3449
query_4574.rq;9;421;2469895;0;0
query_8290.rq;1;159;2428;158;1
query_10710.rq;5;11618;14969626;372;44622
query_12352.rq;10;502;2575696;0;0
query_11667.rq;4;620;14833034;613;23
query_5389.rq;6;1064;577504;755;2437
query_4710.rq;4;13866;7489287;481;62105
query_6221.rq;4;806;9191940;0;0
query_6796.rq;6;2074;33977254;1237;26
query_5599.rq;7;541;4898342;540;17
query_4631.rq;863;35120;2510936;717;287
query_8849.rq;13;954;25265743;868;42
query_8175.rq;17;3842;9712434;855;118
query_6486.rq;13;10788;13257746;4341;23148
query_6771.rq;138;10170;44416025;1619;430
query_3957.rq;6;1323;30197514;0;0
query_8402.rq;13;1213;25265742;1159;64
query_9062.rq;8;1524;42268278;0;0
query_9630.rq;6;1473;21059834;0;0
query_1239.rq;1;563;2311;563;1
query_10553.rq;6;3969;657907;678;6378
query_11391.rq;15;1832;4089689;500;96
query_1444.rq;4980;171093;34956428;404;17874
query_3296.rq;10;710;15069176;0;0
query_3088.rq;7;5296;15615368;2528;12736
query_8925.rq;6;1127;13856328;968;1
query_12229.rq;8;819;6628281;0;0
query_4783.rq;7;5715;66436716;3659;17874
query_5532.rq;5;449;41785;0;0
query_5851.rq;10;1423;2575600;0;0
query_8284.rq;198;13047;32671891;1964;177
query_3955.rq;4;3211;19625655;1238;6544
query_7331.rq;6;1382;21059836;0;0
query_8834.rq;10;895;2575649;0;0
query_4207.rq;8;1108;42268278;1106;2
query_2723.rq;783;39404;3300021;1284;707
query_2159.rq;7;1305;76067;0;0
query_3043.rq;5;1229;1540503;1175;162
query_3649.rq;5;9772;14969521;994;29538
query_1039.rq;8;1127;16672773;0;0
query_185.rq;5770;192347;48909939;3698;24731
query_8064.rq;6;1143;11105611;0;0
query_6854.rq;8;1145;67775;0;0
query_1.rq;1244;40102;4661410;1642;3228
query_11242.rq;5;1031;3265796;1031;1
query_5378.rq;6;20287;18767450;1802;22762
query_9911.rq;5959;235835;24780367;2278;212
query_2365.rq;108;12475;7599288;6484;337
query_10366.rq;176;12140;24106325;1198;24583
query_1057.rq;4;1882;900907;1845;246
query_3459.rq;1682;43383;11835269;1658;5935
query_8873.rq;1612;55463;5427567;1364;2906
query_4118.rq;11;996;128532;0;0
query_8957.rq;6;868;10762368;868;1
query_12176.rq;74;3894;4617874;1867;263
query_7479.rq;5;1065;1024922;1053;56
query_11710.rq;4;1170;14834430;1168;31
query_12297.rq;1;465;2302;465;1
query_12377.rq;12;1839;15434478;1814;28
query_9509.rq;6;1951;13856328;1753;1
query_11043.rq;24;33913;44429900;4461;569
query_5605.rq;5;970;1025018;961;23
query_338.rq;-1;-1;-1;-1;-1
query_10092.rq;9;9281;18916559;4796;10031
query_2879.rq;17;20815;1199870;4642;38698
query_3544.rq;7;1176;385695;1138;49
query_11817.rq;13;12016;16455687;9543;3449
query_6428.rq;532;17311;2374185;2440;21
query_8036.rq;4;1809;38994709;1738;239
query_9617.rq;4;3628;38994818;1555;7008
query_8859.rq;659;20750;33745758;2121;638
query_6699.rq;15;2982;4089686;1467;87
query_7133.rq;7;1404;495742;1381;32
query_1581.rq;12;1769;15434474;1739;53
query_3749.rq;22;4326;37026735;1813;4222
query_5695.rq;4051;113867;9817958;6023;163
query_7040.rq;8;1831;16672778;0;0
query_1897.rq;9;2463;2469899;0;0
query_8017.rq;4;2887;38994919;2360;1547
query_3213.rq;38;3167;35453512;0;0
query_9859.rq;17;5456;9712329;2450;110
query_10653.rq;17;2141;1200632;0;0
query_1805.rq;8;1098;6628281;0;0
query_3704.rq;7;1302;495644;1262;33
query_7577.rq;7;6496;11100412;3983;5329
query_1706.rq;28;3849;9431962;0;0
query_391.rq;23;29536;6888509;2415;26272
query_1156.rq;4;2234;8575106;0;0
query_8647.rq;7;2434;14372063;0;0
query_302.rq;8;1683;16672774;1674;1
query_8453.rq;6;1509;17359725;1448;1
query_4888.rq;4;10361;7489290;1467;42461
query_12004.rq;13;2473;25265743;2423;75
query_632.rq;13;4412;13425203;2679;707
query_607.rq;7;1877;5899118;1692;21
query_8485.rq;40;4072;40082361;0;0
query_11388.rq;649;22009;3048000;1630;1839
query_6328.rq;6;16760;18767450;1878;22762
query_4352.rq;8;1812;16672760;0;0
query_11499.rq;7;2286;35438390;2258;218
query_8344.rq;10;1862;7793538;1854;41
query_7229.rq;4;1971;900939;1894;638
query_5419.rq;12;2682;21168049;1994;363
query_7979.rq;8;2707;935516;2448;527
query_5795.rq;7;2108;11098716;2069;171
query_8257.rq;6;3007;30197559;0;0
query_5597.rq;4014;158623;12348902;2159;10741
query_8335.rq;17;2313;2490983;2053;12
query_4452.rq;4;17775;19625645;3461;86654
query_8185.rq;7;2554;66340872;0;0
query_1661.rq;5;4996;3265795;0;0
query_3479.rq;6;35875;18767438;1668;63420
query_11998.rq;6;1662;13856330;0;0
query_3662.rq;10;1435;7789310;1430;19
query_12355.rq;8;2336;6628281;0;0
query_709.rq;196;12913;966060;1463;431
query_4040.rq;5;1543;1263632;1385;555
query_10665.rq;16;10959;1193390;1350;26572
query_8198.rq;7;1337;14372061;0;0
query_8170.rq;6;2983;30197606;0;0
query_11513.rq;6;1217;3903747;1192;131
query_2030.rq;7;1234;5899118;1183;21
query_8897.rq;8;5107;16672765;0;0
query_7164.rq;8;2255;935504;1457;4149
query_10470.rq;4;6107;38994816;4286;9393
query_823.rq;10;1703;165294;0;0
query_8929.rq;4;3279;10288211;1825;97123
query_9070.rq;4;3275;38994819;2172;7765
query_2381.rq;6;2313;577504;2005;2437
query_2103.rq;7;1861;385589;1823;47
query_11882.rq;4;16334;7489290;2609;42461
query_2033.rq;6;3188;13856328;3001;1
query_2201.rq;559;17628;5963221;1415;2004
query_291.rq;1;1601;2308;1601;1
query_10232.rq;10;3217;15069127;0;0
query_11480.rq;7;2263;385692;2206;68
query_4833.rq;7;2391;537742;2294;553
query_1276.rq;10;2132;165294;0;0
query_7659.rq;116;5624;7619547;1511;355
query_10314.rq;7;2477;35446597;2464;147
query_3273.rq;6;2709;10763036;2709;1
query_7000.rq;7;2910;35446943;2890;142
query_9166.rq;5;2720;2524386;0;0
query_5459.rq;18;4042;71922797;3631;3228
query_3021.rq;10;2474;10909325;2474;1
query_10436.rq;7;242059;69701871;3434;283797
query_10687.rq;1;1369;2119;0;0
query_4835.rq;119;9489;7630042;1914;379
query_5376.rq;13;3120;25265637;2712;489
