Q6;311;11833;871238;11228;66
Q24;2;104;4436;0;0
Q1;3372;31296;8714967;25791;717
Q14;25;110;77683;101;23
Q30;-1;-1;-1;-1;-1
Q13;-1;-1;-1;-1;-1
Q12;2960;16963;7751243;1169;42
Q28;-1;-1;-1;-1;-1
Q7;73;411;206297;403;35
Q31;-1;-1;-1;-1;-1
Q29;-1;-1;-1;-1;-1
Q9;238;1682;606604;1508;44
Q19;331;1813;975360;1781;166
Q20;9;54;38237;53;2
Q34;-1;-1;-1;-1;-1
Q22;2;21;5017;21;1
Q18;109;662;306605;655;35
Q8;14;82;61218;79;17
Q21;109;656;306605;649;35
Q32;-1;-1;-1;-1;-1
Q4;5;36;17678;35;1
Q16;391;2292;1055791;1393;138
Q2;8;56;73982;0;0
Q25;-1;-1;-1;-1;-1
Q23;-1;-1;-1;-1;-1
Q26;4829;31050;11851460;6401;1160
Q5;167;1060;504141;1046;50
Q11;543;3299;1464963;3227;5
Q10;-1;-1;-1;-1;-1
Q15;71;415;208391;397;45
Q27;-1;-1;-1;-1;-1
Q33;-1;-1;-1;-1;-1
