query607.rq;60;3915;2711825;3754;10195
0query1548.sparql;31;2559;3563832;2554;8
query14306.sparql;49;3635;4033606;0;0
query8446.sparql;3;1799;1946196;1799;23
query3433.rq;57;3033;3656059;2988;3839
0query1569.sparql;31;2796;3550293;2784;7
query17291.sparql;53;4019;5967837;0;0
query10275.sparql;21;986;785481;976;45
query8195.sparql;3;1849;1949569;1848;62
query18134.sparql;10;3043;3258944;3043;2
query16484.sparql;53;3833;5960928;0;0
query9934.sparql;23;712;809465;701;72
query14100.sparql;49;3261;4024869;0;0
query2104.rq;416;10727;9106337;10509;8742
query14298.sparql;137;3936;4741320;3929;297
0query1496.sparql;85;4154;6048018;0;0
query9138.sparql;4;1347;1953052;1347;59
query8631.sparql;3;1476;1949569;1475;62
query17158.sparql;53;3813;5960831;0;0
query9824.sparql;21;647;784634;639;61
query4119.rq;11;2193;2710455;2190;116
query16500.sparql;53;3348;5960831;0;0
query17722.sparql;13;2134;3292835;2133;3
query10346.sparql;23;687;808759;679;60
query10282.sparql;21;549;785481;543;45
query8266.sparql;3;1594;1942118;1594;7
query17910.sparql;18;2459;3336304;2459;5
0query1116.sparql;45;7610;9738171;7608;15
query13332.sparql;183;7948;10833943;7939;85
query16762.sparql;53;3552;5966223;0;0
0query1476.sparql;53;3566;6080884;0;0
query9325.sparql;4;1497;1950384;1497;34
query17012.sparql;115;4325;6115369;4322;8
query13957.sparql;40;6786;9695808;6784;11
query13580.sparql;183;8225;10833943;8216;85
query14408.sparql;49;3357;4031319;0;0
query16711.sparql;53;3312;5960831;0;0
query16404.sparql;53;3213;5971017;0;0
query18136.sparql;10;2394;3258944;2394;2
query1021.rq;1497;32709;26161984;21689;22370
query14060.sparql;49;2932;4022993;0;0
query13971.sparql;28;7144;9619296;7143;16
query12941.sparql;79;7486;10015534;7482;36
query17886.sparql;6;2450;3230547;0;0
query2763.rq;1997;27800;28310240;27672;3342
query8234.sparql;3;1459;1947716;1459;34
query4160.rq;802;14916;18835208;14903;707
query8946.sparql;4;1125;1951242;1125;34
query939.rq;404;5607;6454732;5549;22254
query2125.rq;1999;22188;32753099;22023;6386
