Q6;624;5143;1532591;1376;66
Q24;3;114;5973;0;0
Q1;-1;-1;-1;-1;-1
Q14;26;191;78661;70;23
Q30;-1;-1;-1;-1;-1
Q13;-1;-1;-1;-1;-1
Q12;-1;-1;-1;-1;-1
Q28;5;52686;18372792;353;539113
Q7;74;428;195322;105;35
Q31;8;37396;3760691;265;178302
Q29;9;4733;3529366;203;15855
Q9;269;1343;621695;185;44
Q19;-1;-1;-1;-1;-1
Q20;11;132;44863;108;2
Q34;-1;-1;-1;-1;-1
Q22;19;101;232008;0;0
Q18;191;710;469425;109;44
Q8;-1;-1;-1;-1;-1
Q21;199;527;479186;116;36
Q32;2003;12662;8285182;246;44833
Q4;21;78;45576;1602062537161;7
Q16;-1;-1;-1;-1;-1
Q2;31;122;122821;55;5
Q25;-1;-1;-1;-1;-1
Q23;-1;-1;-1;-1;-1
Q26;7125;19134;19852024;1602063437425;27862
Q5;821;2304;2269817;1602063456578;2957
Q11;945;2274;2498523;1602063458897;2647
Q10;-1;-1;-1;-1;-1
Q15;-1;-1;-1;-1;-1
Q27;10436;64005;47531603;21;585125
Q33;30;121;112372;21;108
