query10323.sparql;23;814;811278;789;61
query3273.rq;58;1569;3674980;1508;3940
query14596.sparql;49;1719;4025989;0;0
query3595.rq;96;2285;5452883;2277;268
query16601.sparql;53;2090;6080884;0;0
query5458.rq;14863;63981;80592087;21330;2487270
query8818.sparql;4;1169;1952284;1169;37
query3733.rq;19;2830;6401004;2827;163
query3049.rq;58;1292;2638957;1229;9321
query6035.rq;79;1133;2560453;1129;20
query14560.sparql;49;1771;4144366;0;0
query4576.rq;481;5434;8948820;5404;400
query15167.sparql;49;1599;4033606;0;0
query16467.sparql;53;1872;5962495;0;0
query9922.sparql;22;283;793578;276;57
query14506.sparql;49;1566;4022993;0;0
query9835.sparql;22;339;800325;331;56
query14440.sparql;49;1604;4025989;0;0
query12860.sparql;28;3921;9603187;3919;10
query12911.sparql;528;5842;13562938;5816;255
query6108.rq;53;3960;11441373;3959;17
0query728.sparql;3;550;1944910;549;32
query10138.sparql;21;255;790313;246;51
query9007.sparql;3;609;1950758;608;82
query17220.sparql;85;1688;6048018;0;0
query17156.sparql;53;1553;5961375;0;0
query6395.rq;1;3;2126;3;1
query13118.sparql;91;2916;10106477;2911;38
query5952.rq;5;1840;7228802;1839;1
query14397.sparql;49;1106;4034499;0;0
query14673.sparql;49;1064;4029705;0;0
query13941.sparql;61;2636;9870673;2633;32
query14167.sparql;49;1031;4025989;0;0
query17709.sparql;31;898;3636389;894;9
query13319.sparql;34;2291;9658482;2289;22
query2911.rq;371;2746;10044921;2677;2180
query1147.rq;5982;23944;79103961;21147;28378
query9892.sparql;23;192;808137;183;60
query17187.sparql;53;1207;5970112;0;0
query2520.rq;115;1308;4635802;1235;2355
0query782.sparql;4;489;1950982;488;31
query13504.sparql;91;2381;10106477;2375;38
query14291.sparql;137;1164;4741320;1154;297
query10340.sparql;21;182;785927;174;52
0query773.sparql;4;410;1952412;409;58
query9999.sparql;23;186;816629;179;78
query17211.sparql;144;1190;6240323;1182;26
query6288.rq;1;4;2073;4;1
query12968.sparql;45;2181;9738171;2178;15
query12905.sparql;28;2129;9599850;2127;9
