query_8760.rq;8704;40661;22725504;19452;51
query_1863.rq;1260;3808;3511678;640;18
query_2491.rq;9133;118792;22709034;5380;9156
query_6499.rq;633;2091;1620334;2090;1
query_11865.rq;2729;7455;7164589;1075;1770
query_4542.rq;8;45;52143;45;1
query_6638.rq;-1;-1;-1;-1;-1
query_9938.rq;543;1586;1489064;255;536
query_9925.rq;7446;36341;20030962;15948;32
query_7193.rq;1316;3775;3691016;1273;3
query_10710.rq;4197;16013;11053372;838;4656
query_9541.rq;5;31;46067;0;0
query_1434.rq;50;154;171137;149;12
query_10099.rq;6451;17102;16867678;1637;2556
query_8430.rq;2692;7152;7061814;1146;1688
query_4978.rq;1222;3261;3541161;773;2482
query_4025.rq;392;1145;1017588;857;290
query_1064.rq;28;117;88004;106;26
query_12326.rq;-1;-1;-1;-1;-1
query_5140.rq;1033;2916;2591011;538;42
query_5016.rq;323;1168;869941;1154;9
query_2560.rq;2309;9620;6259623;5502;21
query_4203.rq;20125;62139;56312114;260;4205
query_5099.rq;20125;65165;56312114;300;4205
query_5643.rq;3;14;28606;0;0
query_3305.rq;-1;-1;-1;-1;-1
query_3812.rq;70871;194896;176852027;644;6993
query_1512.rq;3;13;26200;0;0
query_7557.rq;990;2927;2550310;290;706
query_10191.rq;-1;-1;-1;-1;-1
query_7422.rq;130;506;384652;492;6
query_666.rq;1653;5420;4222580;1049;252
query_1875.rq;627;1832;1605335;1248;3
query_4168.rq;8;127;64319;0;0
query_3224.rq;4;19;43469;0;0
query_4869.rq;4863;14431;12509492;9511;477
query_7178.rq;1456;4468;3583151;698;95
query_1359.rq;3492;9553;9178347;1888;422
query_8695.rq;309;947;844041;699;180
query_5062.rq;212;699;541529;518;12
query_12051.rq;10431;34074;28615553;15639;859
query_7559.rq;5;23;53362;0;0
query_9294.rq;1993;5486;4999538;1819;136
query_9481.rq;174;649;492178;478;105
query_4477.rq;-1;-1;-1;-1;-1
query_2527.rq;4041;10666;10682591;4242;7
query_10643.rq;1364;3571;3525260;3351;3
query_9375.rq;1;5;2445;4;1
query_210.rq;871;2830;2489193;393;42
query_438.rq;3;20;26200;0;0
query_6734.rq;5225;14258;13315277;8123;11
query_10208.rq;-1;-1;-1;-1;-1
query_2651.rq;10;33;60239;0;0
query_9201.rq;3;15;38999;0;0
query_9852.rq;-1;-1;-1;-1;-1
query_12098.rq;2724;11377;7444644;687;23274
query_2716.rq;7;27;58579;27;1
query_12287.rq;6298;19075;17394197;2062;223
query_736.rq;521;1759;1428338;243;514
query_7948.rq;26;81;82570;75;24
query_846.rq;867;2933;2478456;709;35
query_5166.rq;-1;-1;-1;-1;-1
query_10271.rq;7347;22147;19264958;1716;526
query_5744.rq;8;32;86383;0;0
query_11680.rq;1705;5180;4727286;291;10019
query_3567.rq;-1;-1;-1;-1;-1
query_1731.rq;826;2308;2124254;974;185
query_10040.rq;22;122;90269;121;2
query_2550.rq;158;463;456661;412;32
query_8342.rq;256;828;671436;801;145
query_6707.rq;65;156;208215;145;48
query_11617.rq;1423;3852;3711925;1685;104
query_3482.rq;5;26;58750;0;0
query_7547.rq;1345;5357;3655338;4059;5
query_7640.rq;228;676;595011;555;13
query_896.rq;65;213;223933;209;6
query_1603.rq;-1;-1;-1;-1;-1
query_11302.rq;1;3;2529;3;1
query_11303.rq;76;221;208655;190;45
query_6315.rq;4;40;43469;0;0
query_7118.rq;172;646;488269;642;5
query_2362.rq;2813;7888;7305453;4990;14
query_10875.rq;2631;10495;7188634;711;22723
query_11374.rq;5;20;46056;0;0
query_6051.rq;2691;7251;6773909;1944;44
query_7026.rq;3584;10820;8921403;580;153
query_3111.rq;2774;11990;7317790;794;3232
query_837.rq;-1;-1;-1;-1;-1
query_4646.rq;3449;10126;8759189;1399;695
query_4957.rq;1939;5635;4866846;1945;141
query_11226.rq;217;658;605750;653;4
query_5956.rq;102;282;279778;281;5
query_10958.rq;1;9;2314;0;0
query_4750.rq;92;582;1306629;83;7721
query_3534.rq;-1;-1;-1;-1;-1
query_1387.rq;-1;-1;-1;-1;-1
query_500.rq;6952;18324;18685280;820;218
query_6922.rq;8337;20058;21805371;6756;4834
query_9576.rq;8924;23015;23267032;1604;3388
query_2313.rq;2654;11383;6996708;654;3064
query_2233.rq;5;29;80915;0;0
query_7588.rq;250;612;652035;567;61
query_5538.rq;28129;81802;76298375;1090;2237
query_6404.rq;5073;14605;12755605;3645;92
query_3092.rq;8;31;52045;30;1
query_9903.rq;2618;11854;7146805;739;22254
query_11126.rq;768;2780;2020219;2594;4
query_8413.rq;9385;125575;23336773;6605;9208
query_6345.rq;28129;84601;76298375;1010;2237
query_2909.rq;14;63;142872;0;0
query_9764.rq;45433;133568;114697679;2237;9373
query_1345.rq;1143;3060;2955869;2095;30
query_284.rq;22878;72456;59180352;235;9088
query_8455.rq;573;1831;1498891;1760;56
query_3572.rq;-1;-1;-1;-1;-1
query_9592.rq;2765;6951;7171940;237;1092
query_4281.rq;4344;10760;11190706;8429;349
query_5418.rq;8000;20372;19842285;3035;127
