query_1482.rq;583;60930;4693763;14387;2232
query_1458.rq;6;468;1090129;467;1
query_1557.rq;8;645;4280788;611;4
query_1486.rq;6;489;2121844;489;1
query_1618.rq;9;14876;1469640;752;14181
query_1553.rq;7;539;129181;538;2
query_1500.rq;15;8085;283839;846;7744
query_158.rq;59;2673;368772;1111;110
query_1559.rq;10;631;3254405;0;0
query_160.rq;10;717;164402;0;0
query_1577.rq;9;545;539888;517;7
query_1593.rq;9;965;224807;630;80
query_1573.rq;170;5911;600270;515;158
query_1555.rq;9;496;374904;0;0
query_1509.rq;259;8265;687474;486;78
query_1544.rq;22;1940;3824551;1185;383
query_1455.rq;13;782;2628386;774;6
query_152.rq;13;625;206688;550;4
query_151.rq;5;5655;1441166;457;6588
query_1507.rq;6;724;1337851;663;1
query_7146.rq;12;671;1519552;667;3
query_1560.rq;8;560;704487;548;3
query_1512.rq;5;429;41441;0;0
query_1568.rq;4;478;892796;0;0
query_1493.rq;7;865;1431425;471;1741
query_1590.rq;180;6052;1254754;409;629
query_1479.rq;7;25726;6837523;833;28378
query_5851.rq;10;472;342929;0;0
query_1472.rq;28;1104;1257256;0;0
query_1597.rq;47;1671;2151916;0;0
query_1506.rq;17;590;262500;492;35
query_1542.rq;7;26454;6837523;792;28378
query_1547.rq;8;409;222432;0;0
query_1492.rq;54;2033;2168385;0;0
query_146.rq;4;598;3887183;481;428
query_1611.rq;6;1121;123778;503;649
query_1587.rq;6;645;3021404;472;29
query_1514.rq;9;6798;1469640;719;14181
query_1480.rq;5;497;377426;497;1
query_1595.rq;5;613;1265473;544;183
query_1460.rq;38;1465;2166301;856;4
query_1562.rq;476;12274;3461041;547;1766
query_1515.rq;5;451;377273;0;0
query_1591.rq;765;18758;2897983;1253;32
query_1469.rq;278;7624;1043193;717;1119
query_1608.rq;25;1299;957943;909;28
query_153.rq;6;473;3021412;0;0
query_1532.rq;34;1653;980557;922;47
query_1525.rq;10;627;503736;486;16
query_1613.rq;8;509;222064;0;0
query_150.rq;12;860;2178616;750;55
query_1513.rq;33;1029;579165;476;99
query_1534.rq;5;356;104559;350;18
query_1600.rq;6;540;3021404;429;29
query_1610.rq;5;419;162785;410;13
query_155.rq;23;1066;1453876;0;0
query_1494.rq;6;500;2121846;0;0
query_1473.rq;30;1334;3359871;786;17
query_1585.rq;4;6515;1291806;513;22370
query_1449.rq;580;14585;4671409;920;2140
query_1556.rq;5;530;186002;0;0
query_1571.rq;23;3286;873676;910;1452
query_1519.rq;5;1896;704470;426;4205
query_1518.rq;5;615;253196;569;49
query_1566.rq;7;840;1371845;0;0
query_1603.rq;6;876;3021404;778;29
query_1474.rq;7;551;129078;547;3
query_1468.rq;12;1123;2178409;915;42
query_1548.rq;5;714;186950;714;1
query_1461.rq;5;717;132520;0;0
query_1586.rq;7;1836;1431415;559;5224
query_1605.rq;4;584;1344118;575;35
query_1609.rq;12;820;2178511;733;33
query_1488.rq;23;979;1453199;0;0
query_1581.rq;12;811;1519554;809;7
query_1471.rq;12;788;2178503;609;46
query_147.rq;5;652;162785;646;13
query_1565.rq;4;450;114928;409;251
query_1477.rq;12;936;2178618;786;32
query_634.rq;155;4339;570511;615;173
query_1598.rq;22;1533;3824559;1134;408
query_1575.rq;185;5542;663765;1026;18
query_1552.rq;165;3867;497120;2138;7
query_1453.rq;5;1012;162786;702;607
query_1470.rq;93;2634;469451;939;237
query_1558.rq;31;1193;572823;652;87
query_1580.rq;830;18247;3034453;1148;27
query_1574.rq;7;704;605432;683;7
query_1616.rq;6;3908;1032929;681;4193
query_159.rq;513;11025;1442150;679;650
query_1483.rq;5;1514;1505718;900;3064
query_1583.rq;1;454;2274;454;1
query_1564.rq;9;680;538866;662;9
query_1576.rq;40;1708;4297265;0;0
query_1614.rq;8;716;222290;0;0
query_1511.rq;4;635;791257;0;0
query_1550.rq;126;3237;539238;736;27
query_1446.rq;7;590;605432;568;7
query_1589.rq;10;652;1053712;652;1
query_148.rq;5;678;185720;0;0
query_1475.rq;4;2115;1841580;583;8745
query_1495.rq;512;10521;3554891;978;1863
query_1466.rq;10;1118;3254405;1118;1
query_1551.rq;8;495;67605;0;0
query_1531.rq;9;755;534818;754;1
query_1619.rq;9;627;374743;0;0
query_1485.rq;13;1191;1615970;571;904
query_1537.rq;1;430;2250;429;1
query_157.rq;4;927;3887182;861;143
query_1561.rq;7;590;1371845;0;0
query_156.rq;23;817;1453424;0;0
query_1499.rq;38;2150;4296052;1296;50
query_144.rq;5;542;262277;0;0
query_1563.rq;6;626;1337851;580;1
query_1527.rq;11;681;779107;620;66
query_1535.rq;1;349;2250;349;1
query_1528.rq;9;586;182497;0;0
query_1536.rq;7;4850;1431415;818;14024
query_1596.rq;5;520;376952;0;0
query_1541.rq;48;1123;2191356;527;13
query_1529.rq;8;781;1597560;774;3
query_1498.rq;6;630;3183668;620;144
query_1497.rq;8;594;1597558;0;0
query_1489.rq;6;6243;1032921;650;12602
query_1465.rq;16;395;253745;335;37
query_1546.rq;10;592;193002;592;1
query_1533.rq;9;916;183154;0;0
query_1554.rq;6;1911;1903734;425;2237
query_1456.rq;631;10188;4807825;643;2290
query_1454.rq;5;391;137798;387;8
query_1476.rq;6;611;1027143;611;1
query_1526.rq;10;460;3254400;460;2
query_1602.rq;24;3827;4389804;2807;6
query_1516.rq;6;606;469916;569;275
query_14.rq;7;637;1075624;583;363
query_1522.rq;4;363;1841583;265;825
query_1530.rq;5;697;262277;0;0
query_1487.rq;1;499;2303;499;1
query_1464.rq;273;3488;852733;636;29
query_1543.rq;10;477;342779;0;0
query_1569.rq;17;470;346718;0;0
query_1582.rq;5;3335;1441169;397;14181
query_1588.rq;24;1407;4389803;592;52
query_1615.rq;5;261;1265582;246;96
query_1538.rq;8;264;176625;230;306
query_1584.rq;4;354;1841583;301;825
query_1599.rq;29;668;4271785;469;21
query_1467.rq;310;2687;934104;348;41
query_1578.rq;17;427;1153348;319;11
query_1457.rq;1397;9765;4244896;333;47
query_1617.rq;331;2064;845627;248;89
query_1463.rq;8;231;3205429;214;180
query_1502.rq;4;319;899643;186;9598
query_1517.rq;4;234;791422;234;1
query_1496.rq;40;414;2171582;226;7
query_149.rq;7;204;75515;0;0
