Concept,count
http://dbpedia.org/ontology/PowerStation,9724
http://dbpedia.org/class/yago/WikicatAmericanLawyers,8984
http://dbpedia.org/class/yago/WikicatAmericanActors,8823
http://www.wikidata.org/entity/Q23442,8551
http://dbpedia.org/ontology/MilitaryStructure,8397
http://dbpedia.org/ontology/TennisTournament,8166
http://dbpedia.org/class/yago/WikicatAmericanMaleTelevisionActors,8122
http://dbpedia.org/ontology/TelevisionSeason,8122
http://dbpedia.org/ontology/Comic,8093
http://dbpedia.org/ontology/Bridge,7564
http://dbpedia.org/ontology/Website,7447
http://dbpedia.org/ontology/RacingDriver,7431
http://dbpedia.org/class/yago/WikicatAmericanFilmActresses,7278
http://dbpedia.org/class/yago/WikicatAmericanMusicians,7219
http://dbpedia.org/class/yago/WikicatAssociationFootballGoalkeepers,7166
http://dbpedia.org/ontology/Olympics,7077
http://dbpedia.org/ontology/Park,6985
http://schema.org/Park,6909
http://dbpedia.org/ontology/Hospital,6746
http://dbpedia.org/ontology/FootballMatch,6701
http://dbpedia.org/ontology/Saint,6576
http://dbpedia.org/ontology/Amphibian,6378
http://dbpedia.org/ontology/ArtistDiscography,6264
http://dbpedia.org/class/yago/WikicatAmericanTelevisionActresses,6211
http://dbpedia.org/class/yago/WikicatPeopleFromNewYorkCity,6196
http://dbpedia.org/ontology/Play,6063
http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase,5956
http://dbpedia.org/ontology/Star,5879
http://schema.org/TelevisionStation,5857
http://dbpedia.org/ontology/Planet,5759
http://schema.org/Hospital,5735
http://schema.org/WebSite,5709
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSlovenia,5661
http://dbpedia.org/class/yago/WikicatAmericanScreenwriters,5470
http://dbpedia.org/ontology/HorseRace,5378
http://dbpedia.org/ontology/Bank,5345
http://dbpedia.org/class/yago/WikicatAmericanFilmDirectors,5310
http://dbpedia.org/ontology/Anime,5237
http://dbpedia.org/class/yago/WikicatAmericanTelevisionActors,5225
http://dbpedia.org/ontology/Convention,5210
http://dbpedia.org/ontology/ComicsCharacter,5177
http://dbpedia.org/ontology/Enzyme,5030
http://dbpedia.org/ontology/Criminal,5013
http://dbpedia.org/ontology/Actor,4964
http://dbpedia.org/ontology/GolfTournament,4957
http://dbpedia.org/ontology/Locomotive,4918
http://dbpedia.org/ontology/Manga,4913
http://dbpedia.org/class/yago/WikicatAmericanComposers,4882
http://dbpedia.org/ontology/Castle,4765
http://dbpedia.org/ontology/Reptile,4755
http://dbpedia.org/ontology/Airline,4737
http://dbpedia.org/class/yago/WikicatAustralianRulesFootballersFromVictoria(Australia),4641
http://dbpedia.org/class/yago/WikicatAmericanJournalists,4520
http://www.wikidata.org/entity/Q13365117,4503
http://dbpedia.org/class/yago/WikicatAmericanBasketballPlayers,4458
http://schema.org/Country,4438
http://www.wikidata.org/entity/Q6256,4438
http://dbpedia.org/class/yago/WikicatPeopleFromParis,4413
http://dbpedia.org/class/yago/WikicatPeopleFromLondon,4242
http://dbpedia.org/ontology/Name,4229
http://www.wikidata.org/entity/Q82799,4229
http://dbpedia.org/class/yago/WikicatAmericanWriters,4160
http://dbpedia.org/ontology/SoccerLeague,4095
http://www.wikidata.org/entity/Q4936952,4094
http://dbpedia.org/class/yago/WikicatAmericanActresses,4080
http://dbpedia.org/class/yago/WikicatPeopleOfTheTudorPeriod,4074
http://dbpedia.org/class/yago/WikicatAmericanMaleSingers,4050
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfIrishDescent,4009
http://schema.org/LakeBodyOfWater,3991
http://dbpedia.org/ontology/ShoppingMall,3941
http://dbpedia.org/ontology/HockeyTeam,3937
http://dbpedia.org/class/yago/WikicatAmericanFilmProducers,3864
http://www.wikidata.org/entity/Q202444,3849
http://dbpedia.org/ontology/Publisher,3844
http://dbpedia.org/class/yago/WikicatAmericanAcademics,3835
http://dbpedia.org/ontology/Train,3792
http://dbpedia.org/ontology/NationalFootballLeagueSeason,3778
http://dbpedia.org/ontology/Legislature,3763
http://dbpedia.org/class/yago/WikicatAustrianPeople,3751
http://dbpedia.org/class/yago/WikicatAmericanComedyFilms,3624
http://dbpedia.org/ontology/Year,3600
http://www.wikidata.org/entity/Q11032,3596
http://dbpedia.org/class/yago/WikicatOfficersOfTheOrderOfTheBritishEmpire,3535
http://dbpedia.org/ontology/InformationAppliance,3490
http://xmlns.com/foaf/0.1/Organization,3486
http://dbpedia.org/class/yago/WikicatAmericanHistorians,3483
http://dbpedia.org/class/yago/WikicatPeopleFromBrooklyn,3460
http://dbpedia.org/ontology/WomensTennisAssociationTournament,3453
http://dbpedia.org/class/yago/WikicatPremierLeaguePlayers,3450
http://dbpedia.org/ontology/SpaceMission,3343
http://dbpedia.org/ontology/ProgrammingLanguage,3329
http://dbpedia.org/class/yago/WikicatAmericanFemaleSingers,3258
http://schema.org/ShoppingCenter,3235
http://dbpedia.org/ontology/Library,3230
"http://dbpedia.org/class/yago/WikicatPeopleFromChicago,Illinois",3213
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfItalianDescent,3194
http://dbpedia.org/ontology/MixedMartialArtsEvent,3095
http://www.wikidata.org/entity/Q152,3087
http://dbpedia.org/class/yago/WikicatPeopleEducatedAtEtonCollege,3080
http://dbpedia.org/class/yago/WikicatArgentineFootballers,3049
http://dbpedia.org/class/yago/WikicatAmericanSoccerPlayers,3048
http://dbpedia.org/ontology/Religious,3042
http://dbpedia.org/class/yago/WikicatAmericanPoets,3017
http://dbpedia.org/ontology/RugbyClub,3011
http://dbpedia.org/class/yago/WikicatAmericanDramaFilms,2934
"http://dbpedia.org/class/yago/WikicatPeopleFromPhiladelphia,Pennsylvania",2886
http://dbpedia.org/ontology/BasketballTeam,2794
http://dbpedia.org/ontology/Lighthouse,2788
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfEnglishDescent,2765
http://dbpedia.org/ontology/WrestlingEvent,2761
http://dbpedia.org/ontology/Philosopher,2754
http://dbpedia.org/class/yago/WikicatAmericanSingers,2753
http://dbpedia.org/ontology/Crustacean,2733
http://dbpedia.org/class/yago/WikicatAmericanWomenWriters,2719
http://dbpedia.org/class/yago/WikicatPrincetonUniversityAlumni,2635
