classes,count
http://dbpedia.org/ontology/School,66539
http://wikidata.dbpedia.org/ontology/Company,65759
http://dbpedia.org/ontology/NaturalPlace,65731
http://dbpedia.org/ontology/Single,65728
http://dbpedia.org/ontology/TelevisionShow,65331
http://schema.org/SportsTeam,64333
http://www.wikidata.org/entity/Q7397,64324
http://schema.org/School,63668
http://www.wikidata.org/entity/Q3914,63668
http://wikidata.dbpedia.org/ontology/OfficeHolder,63259
http://wikidata.dbpedia.org/ontology/WrittenWork,62364
http://wikidata.dbpedia.org/ontology/NaturalPlace,61949
http://dbpedia.org/ontology/Plant,61808
http://www.wikidata.org/entity/Q36180,60909
http://schema.org/LandmarksOrHistoricalBuildings,58871
http://www.wikidata.org/entity/Q11446,58787
http://www.wikidata.org/entity/Q15265344,57911
http://dbpedia.org/ontology/MeanOfTransportation,57779
http://dbpedia.org/dbtax/Source,56807
http://www.wikidata.org/entity/Q47521,56518
http://dbpedia.org/ontology/SocietalEvent,56250
http://wikidata.dbpedia.org/ontology/Plant,56127
http://www.wikidata.org/entity/Q25326,55863
http://schema.org/RiverBodyOfWater,55618
http://www.wikidata.org/entity/Q4022,55618
http://wikidata.dbpedia.org/ontology/Event,55531
http://dbpedia.org/ontology/University,55178
http://dbpedia.org/dbtax/School,54626
http://dbpedia.org/dbtax/Season,54564
http://dbpedia.org/ontology/Season,54564
http://dbpedia.org/ontology/EducationalInstitution,53830
http://dbpedia.org/dbtax/Area,52731
http://dbpedia.org/ontology/Area,52731
http://dbpedia.org/ontology/SoccerClub,52488
http://dbpedia.org/ontology/Software,52440
http://wikidata.dbpedia.org/ontology/EducationalInstitution,52418
http://dbpedia.org/dbtax/Winner,52397
http://dbpedia.org/dbtax/Book,52293
http://dbpedia.org/ontology/SportsSeason,52088
http://dbpedia.org/dbtax/Scientist,51722
http://wikidata.dbpedia.org/ontology/MeanOfTransportation,51331
http://www.wikidata.org/entity/Q14128148,51230
http://wikidata.dbpedia.org/ontology/MusicalArtist,50588
http://dbpedia.org/dbtax/Landform,50221
http://wikidata.dbpedia.org/ontology/SocietalEvent,49846
http://schema.org/SportsEvent,48752
http://schema.org/AdministrativeArea,48485
http://www.wikidata.org/entity/Q3455524,48485
http://wikidata.dbpedia.org/ontology/Single,48484
http://dbpedia.org/ontology/Award,47665
http://www.wikidata.org/entity/Q901,46616
http://dbpedia.org/dbtax/Community,45736
http://dbpedia.org/ontology/Community,45736
http://dbpedia.org/ontology/Surname,45497
http://dbpedia.org/dbtax/Disestablishment,45432
http://dbpedia.org/ontology/Town,44866
http://dbpedia.org/dbtax/Surname,44853
http://dbpedia.org/dbtax/Athlete,44407
http://dbpedia.org/dbtax/Organisation,44174
http://dbpedia.org/ontology/SportsTeam,43350
http://www.wikidata.org/entity/Q10871364,43133
http://dbpedia.org/ontology/BodyOfWater,43042
http://www.wikidata.org/entity/Q476028,42182
http://wikidata.dbpedia.org/ontology/Town,42077
http://schema.org/City,41725
http://www.wikidata.org/entity/Q515,41725
http://dbpedia.org/dbtax/University,40765
http://www.wikidata.org/entity/Q7889,40750
http://www.wikidata.org/entity/Q34442,40509
http://dbpedia.org/ontology/Broadcaster,40182
http://dbpedia.org/dbtax/Singer,40003
http://dbpedia.org/ontology/Singer,40003
http://wikidata.dbpedia.org/ontology/BodyOfWater,39555
http://dbpedia.org/dbtax/Competition,39368
http://dbpedia.org/ontology/Competition,39368
http://schema.org/CollegeOrUniversity,39315
http://www.wikidata.org/entity/Q3918,39137
http://dbpedia.org/dbtax/Award,39058
http://dbpedia.org/ontology/Device,39039
http://dbpedia.org/dbtax/Site,38928
http://dbpedia.org/ontology/River,38869
http://schema.org/RadioStation,38864
http://dbpedia.org/ontology/Ship,38640
http://wikidata.dbpedia.org/ontology/Politician,38135
http://dbpedia.org/dbtax/Team,38077
http://dbpedia.org/ontology/City,37909
http://www.wikidata.org/entity/Q152,37026
http://wikidata.dbpedia.org/ontology/SportsSeason,36945
http://www.wikidata.org/entity/Q1092563,36662
http://www.wikidata.org/entity/Q206229,36656
http://wikidata.dbpedia.org/ontology/TelevisionShow,36509
http://dbpedia.org/ontology/MilitaryPerson,36029
http://wikidata.dbpedia.org/ontology/Station,35527
http://dbpedia.org/ontology/SportsTeamSeason,35360
http://www.wikidata.org/entity/Q628099,35279
http://www.wikidata.org/entity/Q176799,34854
http://wikidata.dbpedia.org/ontology/Book,34703
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject,34640
http://dbpedia.org/ontology/SportsEvent,34310
http://dbpedia.org/ontology/AdministrativeRegion,34242
http://wikidata.dbpedia.org/ontology/SportsTeamSeason,34110
http://dbpedia.org/ontology/FootballLeagueSeason,34037
http://wikidata.dbpedia.org/ontology/Group,33244
http://wikidata.dbpedia.org/ontology/Band,33176
http://schema.org/Mountain,32856
http://www.wikidata.org/entity/Q8502,32856
http://dbpedia.org/dbtax/Event,32417
http://wikidata.dbpedia.org/ontology/Software,31990
http://dbpedia.org/ontology/Mollusca,31887
http://wikidata.dbpedia.org/ontology/SportsTeam,31845
http://dbpedia.org/ontology/Road,31805
http://dbpedia.org/dbtax/Medalist,31587
http://dbpedia.org/ontology/Medalist,31587
http://wikidata.dbpedia.org/ontology/School,31486
http://dbpedia.org/ontology/MilitaryUnit,30887
http://www.wikidata.org/entity/Q11774891,30751
http://www.wikidata.org/entity/Q13415036,30529
http://dbpedia.org/dbtax/Ship,30381
http://wikidata.dbpedia.org/ontology/Writer,30260
http://dbpedia.org/ontology/RouteOfTransportation,29467
http://wikidata.dbpedia.org/ontology/Ship,29302
http://wikidata.dbpedia.org/ontology/MilitaryPerson,28795
http://schema.org/Airport,28743
http://www.wikidata.org/entity/Q1248784,28743
http://wikidata.dbpedia.org/ontology/Broadcaster,28655
http://wikidata.dbpedia.org/ontology/RouteOfTransportation,28545
http://dbpedia.org/ontology/Stream,28377
http://wikidata.dbpedia.org/ontology/Stream,28187
http://dbpedia.org/ontology/VideoGame,28162
http://wikidata.dbpedia.org/ontology/Mollusca,27922
http://dbpedia.org/ontology/AutomobileEngine,27745
http://wikidata.dbpedia.org/ontology/River,27738
http://dbpedia.org/ontology/Engine,27699
http://dbpedia.org/ontology/Document,27476
http://dbpedia.org/ontology/Venue,27354
http://dbpedia.org/ontology/Journalist,27305
http://dbpedia.org/dbtax/Journalist,26864
http://www.wikidata.org/entity/Q8054,26613
http://dbpedia.org/dbtax/Relation,26135
http://dbpedia.org/ontology/GridironFootballPlayer,25751
http://www.wikidata.org/entity/Q7377,25614
http://dbpedia.org/dbtax/Character,25541
http://wikidata.dbpedia.org/ontology/GridironFootballPlayer,25525
http://www.wikidata.org/entity/Q13414980,25145
http://dbpedia.org/ontology/Sound,24999
http://dbpedia.org/dbtax/Venue,24903
http://www.wikidata.org/entity/Q95074,24644
http://dbpedia.org/dbtax/Leader,24539
http://dbpedia.org/ontology/%3Chttp://purl.org/dc/terms/Jurisdiction%3E,24409
http://dbpedia.org/ontology/Region,24409
http://dbpedia.org/ontology/Park,24365
http://dbpedia.org/dbtax/Unit,24321
http://wikidata.dbpedia.org/ontology/%3Chttp://purl.org/dc/terms/Jurisdiction%3E,24076
http://wikidata.dbpedia.org/ontology/AdministrativeRegion,24076
http://wikidata.dbpedia.org/ontology/Region,24076
http://wikidata.dbpedia.org/ontology/SportsEvent,23982
http://dbpedia.org/ontology/HistoricPlace,23655
http://schema.org/LakeBodyOfWater,23284
http://www.wikidata.org/entity/Q23397,23284
http://wikidata.dbpedia.org/ontology/Scientist,23243
http://dbpedia.org/ontology/MilitaryConflict,23173
http://dbpedia.org/dbtax/Park,23122
http://dbpedia.org/ontology/Mountain,23013
http://dbpedia.org/ontology/RadioStation,22808
http://dbpedia.org/dbtax/Road,22691
http://dbpedia.org/dbtax/Minister,22407
http://www.wikidata.org/entity/Q3665646,22385
http://dbpedia.org/ontology/WinterSportPlayer,22374
http://dbpedia.org/ontology/Cricketer,22366
http://dbpedia.org/dbtax/Vehicle,22354
http://dbpedia.org/ontology/BaseballPlayer,22353
