query_12371.rq;14701;52183;37661351;3912;6022
query_11014.rq;-1;-1;-1;-1;-1
query_10164.rq;-1;-1;-1;-1;-1
query_5049.rq;99;298;268934;290;103
query_9429.rq;-1;-1;-1;-1;-1
query_10423.rq;67183;219467;166996190;2923;474
query_6172.rq;12;60;143027;0;0
query_11451.rq;-1;-1;-1;-1;-1
query_2728.rq;-1;-1;-1;-1;-1
query_12141.rq;-1;-1;-1;-1;-1
query_5086.rq;7;30;66259;0;0
query_11485.rq;-1;-1;-1;-1;-1
query_2573.rq;14;63;145574;0;0
query_3100.rq;-1;-1;-1;-1;-1
query_4365.rq;12;62;142578;0;0
query_9549.rq;-1;-1;-1;-1;-1
query_3053.rq;-1;-1;-1;-1;-1
query_10409.rq;40106;128627;100445258;2019;1958
query_5274.rq;-1;-1;-1;-1;-1
query_11807.rq;-1;-1;-1;-1;-1
query_5289.rq;1;6;2462;6;1
query_10148.rq;-1;-1;-1;-1;-1
query_3002.rq;6;33;47724;0;0
query_377.rq;423;1363;1126540;1339;6
query_3591.rq;378;1148;1024080;1094;86
query_2049.rq;9930;31302;24991371;737;1724
query_8925.rq;-1;-1;-1;-1;-1
query_2973.rq;-1;-1;-1;-1;-1
query_2955.rq;-1;-1;-1;-1;-1
query_3484.rq;-1;-1;-1;-1;-1
query_1768.rq;12147;39470;30232804;698;551
query_10843.rq;6418;20346;16166627;730;1140
query_5622.rq;4277;13675;10665030;640;180
query_100.rq;417;1498;1082219;1495;1
query_10050.rq;3;15;26372;0;0
query_2159.rq;4;21;43838;0;0
query_8978.rq;-1;-1;-1;-1;-1
query_6102.rq;4;26;43838;0;0
query_4814.rq;-1;-1;-1;-1;-1
query_9459.rq;-1;-1;-1;-1;-1
query_1432.rq;-1;-1;-1;-1;-1
query_9564.rq;-1;-1;-1;-1;-1
query_11903.rq;-1;-1;-1;-1;-1
query_7429.rq;-1;-1;-1;-1;-1
query_4955.rq;9155;29211;22623278;824;586
query_10899.rq;1;5;2541;5;1
query_7037.rq;-1;-1;-1;-1;-1
query_3165.rq;7;35;66498;35;1
query_1307.rq;-1;-1;-1;-1;-1
query_10954.rq;1;8;2558;8;1
query_4155.rq;-1;-1;-1;-1;-1
query_7992.rq;6239;19240;15424306;821;403
query_6330.rq;-1;-1;-1;-1;-1
query_3075.rq;-1;-1;-1;-1;-1
query_1828.rq;-1;-1;-1;-1;-1
query_7795.rq;-1;-1;-1;-1;-1
query_5600.rq;194;748;523967;0;0
query_6305.rq;-1;-1;-1;-1;-1
query_9024.rq;4;18;43838;0;0
query_8654.rq;-1;-1;-1;-1;-1
query_10389.rq;53430;175836;133818442;2083;2643
query_5752.rq;-1;-1;-1;-1;-1
query_11961.rq;-1;-1;-1;-1;-1
query_3139.rq;10266;36331;27004808;333;5100
query_8059.rq;-1;-1;-1;-1;-1
query_10040.rq;25;94;98838;93;2
query_1158.rq;-1;-1;-1;-1;-1
query_1473.rq;-1;-1;-1;-1;-1
query_2550.rq;8606;28146;22039018;2544;1427
query_4059.rq;-1;-1;-1;-1;-1
query_9916.rq;22;78;66271;62;12
query_6005.rq;-1;-1;-1;-1;-1
query_9068.rq;-1;-1;-1;-1;-1
query_6485.rq;3;30;26372;0;0
query_11390.rq;-1;-1;-1;-1;-1
query_214.rq;-1;-1;-1;-1;-1
query_2798.rq;12;55;142632;0;0
query_1117.rq;-1;-1;-1;-1;-1
query_8859.rq;-1;-1;-1;-1;-1
query_2352.rq;640;2054;1680683;1967;46
query_7271.rq;-1;-1;-1;-1;-1
query_3786.rq;20;80;82693;79;2
query_7010.rq;-1;-1;-1;-1;-1
query_2567.rq;-1;-1;-1;-1;-1
query_10651.rq;-1;-1;-1;-1;-1
query_3830.rq;-1;-1;-1;-1;-1
query_5954.rq;-1;-1;-1;-1;-1
query_10481.rq;-1;-1;-1;-1;-1
query_257.rq;-1;-1;-1;-1;-1
query_6757.rq;-1;-1;-1;-1;-1
query_30.rq;8367;26409;20971085;2250;633
query_3714.rq;-1;-1;-1;-1;-1
query_2087.rq;11;41;62503;40;3
query_1701.rq;-1;-1;-1;-1;-1
query_3724.rq;5;29;82728;0;0
query_4324.rq;-1;-1;-1;-1;-1
query_2152.rq;6813;22788;16841116;765;425
query_6458.rq;-1;-1;-1;-1;-1
query_11531.rq;-1;-1;-1;-1;-1
query_5758.rq;-1;-1;-1;-1;-1
query_11405.rq;-1;-1;-1;-1;-1
query_2589.rq;10;33;61146;33;1
query_5538.rq;-1;-1;-1;-1;-1
query_6404.rq;-1;-1;-1;-1;-1
query_7353.rq;-1;-1;-1;-1;-1
query_9683.rq;28773;93040;72450659;2305;4714
query_4908.rq;53968;183304;147055578;337;53432
query_10600.rq;68626;232781;186984943;324;67945
query_6437.rq;-1;-1;-1;-1;-1
query_10925.rq;8;37;65302;0;0
query_8330.rq;5;22;46500;21;1
query_1929.rq;-1;-1;-1;-1;-1
query_2529.rq;5438;17598;14441434;938;3472
query_4780.rq;34;120;105189;115;32
query_9358.rq;80572;262350;200818813;2528;312
query_1137.rq;51428;167184;131690225;873;21081
query_4055.rq;3;67;28830;62;1
query_6898.rq;-1;-1;-1;-1;-1
query_5202.rq;834;2731;2168992;2593;79
query_8910.rq;-1;-1;-1;-1;-1
query_6348.rq;-1;-1;-1;-1;-1
query_8467.rq;-1;-1;-1;-1;-1
query_4225.rq;-1;-1;-1;-1;-1
query_2654.rq;-1;-1;-1;-1;-1
query_12255.rq;-1;-1;-1;-1;-1
query_10711.rq;-1;-1;-1;-1;-1
query_5408.rq;-1;-1;-1;-1;-1
query_5115.rq;-1;-1;-1;-1;-1
query_10462.rq;-1;-1;-1;-1;-1
query_11640.rq;-1;-1;-1;-1;-1
query_9684.rq;-1;-1;-1;-1;-1
query_10665.rq;-1;-1;-1;-1;-1
query_11192.rq;-1;-1;-1;-1;-1
query_5237.rq;-1;-1;-1;-1;-1
query_5105.rq;-1;-1;-1;-1;-1
query_420.rq;-1;-1;-1;-1;-1
query_10758.rq;5;22;46295;0;0
query_2503.rq;-1;-1;-1;-1;-1
query_10049.rq;529;1517;1398343;1406;14
query_10946.rq;268;759;739441;755;9
query_5910.rq;-1;-1;-1;-1;-1
query_4490.rq;-1;-1;-1;-1;-1
query_1227.rq;246;830;640087;657;237
query_2424.rq;-1;-1;-1;-1;-1
query_11832.rq;-1;-1;-1;-1;-1
query_5530.rq;24138;53764;60055439;445;1121
query_7625.rq;84;167;272558;166;31
query_10060.rq;184;377;498947;0;0
query_12233.rq;-1;-1;-1;-1;-1
query_5132.rq;489;986;1291764;946;8
query_12235.rq;-1;-1;-1;-1;-1
query_3415.rq;-1;-1;-1;-1;-1
query_11215.rq;-1;-1;-1;-1;-1
query_6248.rq;-1;-1;-1;-1;-1
query_6665.rq;172595;236477;478256906;611;17947
query_11602.rq;287;313;779314;307;6
