L2.txt;1588;232294;29544168;2003;961
F3.txt;581;25302;4540824;2469;87
S5.txt;655;51677;8151949;0;0
F1.txt;378;16794;2845001;0;0
F2.txt;874;33126;6080383;3805;71
S1.txt;49;2467;485838;0;0
L1.txt;6;143;63126;143;1
C1.txt;-1;-1;-1;-1;-1
S3.txt;601;50366;8507796;0;0
L4.txt;259;20771;3250012;451;620
C2.txt;-1;-1;-1;-1;-1
L5.txt;1166;90670;14712491;330;1310
S7.txt;3;33;37325;0;0
F5.txt;32;1800;368323;1750;50
L3.txt;4;100;33318;100;17
F4.txt;1177;35653;8008480;4273;340
S2.txt;301;10891;2324304;1070;133
S4.txt;1041;34158;9066606;1229;30
S6.txt;282;8242;2756846;362;143
